Player,Overs,Mdns,Runs,WktsDescending,Econ,Inns,Opposition,Ground,Start Date,Team
JE Taylor,25,10,47,6,1.88,1,Australia,Kingston,6/11/2015,West Indies
JM Anderson,14.666666666666666,2,47,6,3.2,1,Australia,Birmingham,7/29/2015,England
Wasim Akram,20,8,48,6,2.4,1,Zimbabwe,Faisalabad,10/24/1996,Pakistan
SK Warne,30,14,48,6,1.6,2,England,Manchester,7/3/1997,Australia
KAJ Roach,23.83333333333333,8,48,6,2.01,2,Bangladesh,St George's,7/17/2009,West Indies
CT Tremlett,20,5,48,6,2.4,1,Sri Lanka,Southampton,6/16/2011,England
HMRKB Herath,30.33333333333333,11,48,6,1.58,3,Pakistan,Galle,8/6/2014,Sri Lanka
ML Cummins,11,1,48,6,4.36,3,India,Gros Islet,8/9/2016,West Indies
KA Jamieson,20,6,48,6,2.4,3,Pakistan,Christchurch,1/3/2021,New Zealand
Sir RJ Hadlee,20.83333333333333,8,49,6,2.35,2,India,Wankhede,11/24/1988,New Zealand
D Gough,18.83333333333333,4,49,6,2.6,2,Australia,Sydney,1/1/1995,England
DW Steyn,10.5,1,49,6,4.66,3,New Zealand,Centurion,11/16/2007,South Africa
RJ Sidebottom,17,4,49,6,2.88,3,New Zealand,Hamilton,3/5/2008,England
M Muralidaran,22,8,49,6,2.22,2,Bangladesh,Mirpur,12/26/2008,Sri Lanka
S Shillingford,16,4,49,6,3.06,3,Zimbabwe,Bridgetown,3/12/2013,West Indies
NM Lyon,20,5,49,6,2.45,4,England,Birmingham,8/1/2019,Australia
Rashid Khan,21.666666666666668,6,49,6,2.26,4,Bangladesh,Chattogram,9/5/2019,Afghanistan
Sir RJ Hadlee,12.5,2,50,6,4,1,West Indies,Christchurch,3/12/1987,New Zealand
DN Patel,17.5,5,50,6,2.85,4,Zimbabwe,Harare,11/7/1992,New Zealand
SM Pollock,22.5,6,50,6,2.22,3,Pakistan,Durban,2/26/1998,South Africa
Shoaib Akhtar,22.83333333333333,4,50,6,2.18,1,Bangladesh,Peshawar,8/27/2003,Pakistan
GD McGrath,23.166666666666668,8,50,6,2.15,2,England,Brisbane,11/23/2006,Australia
DW Steyn,19,6,50,6,2.63,1,India,Durban,12/26/2010,South Africa
TG Southee,19,4,50,6,2.63,3,England,Lord's,5/16/2013,New Zealand
SCJ Broad,18.5,3,50,6,2.7,4,Australia,Chester-le-Street,8/9/2013,England
MA Starc,12.5,1,50,6,4,3,Sri Lanka,Galle,8/4/2016,Australia
Sir RJ Hadlee,24,5,51,6,2.12,1,Pakistan,Dunedin,2/9/1985,New Zealand
JG Bracewell,17.666666666666668,3,51,6,2.88,4,India,Wankhede,11/24/1988,New Zealand
CEL Ambrose,19,4,51,6,2.68,3,South Africa,Gqeberha,12/10/1998,West Indies
IK Pathan,15,5,51,6,3.4,3,Bangladesh,Dhaka,12/10/2004,India
SE Bond,17,4,51,6,3,1,Zimbabwe,Bulawayo,8/15/2005,New Zealand
SCJ Broad,17.333333333333332,2,51,6,2.94,2,New Zealand,Wellington,3/14/2013,England
I Sharma,17,3,51,6,3,1,New Zealand,Wellington,2/14/2014,India
Shaheen Shah Afridi,17.5,7,51,6,2.91,2,West Indies,Kingston,8/20/2021,Pakistan
CEL Ambrose,28,6,52,6,1.85,3,England,Leeds,6/6/1991,West Indies
CL Cairns,21,4,52,6,2.47,1,England,Auckland,1/30/1992,New Zealand
Danish Kaneria,15,3,52,6,3.46,3,Bangladesh,Multan,8/29/2001,Pakistan
A Kumble,44,22,53,6,1.2,3,South Africa,Johannesburg,11/26/1992,India
CJ McDermott,19,3,53,6,2.78,2,England,Brisbane,11/25/1994,Australia
AA Donald,15,3,53,6,3.53,1,England,Johannesburg,11/25/1999,South Africa
PT Collins,18,3,53,6,2.94,3,Bangladesh,Kingston,6/4/2004,West Indies
SP Jones,17.833333333333332,6,53,6,2.97,2,Australia,Manchester,8/11/2005,England
MM Ali,15,4,53,6,3.53,4,South Africa,Lord's,7/6/2017,England
CA Walsh,21.5,7,54,6,2.51,1,Australia,St John's,4/8/1995,West Indies
DR Tuffey,19,6,54,6,2.84,2,England,Auckland,3/30/2002,New Zealand
JH Kallis,17,4,54,6,3.17,4,England,Leeds,8/21/2003,South Africa
CS Martin,20,7,54,6,2.7,1,Sri Lanka,Wellington,4/11/2005,New Zealand
M Muralidaran,19.83333333333333,6,54,6,2.72,3,Bangladesh,Chattogram,2/28/2006,Sri Lanka
M Muralidaran,21,5,54,6,2.57,3,Bangladesh,Kandy,7/11/2007,Sri Lanka
PM Siddle,16,3,54,6,3.37,1,England,Brisbane,11/25/2010,Australia
R Ashwin,26.83333333333333,9,54,6,2.01,3,New Zealand,Hyderabad,8/23/2012,India
K Rabada,22,9,54,6,2.45,3,Australia,Gqeberha,3/9/2018,South Africa
SCJ Broad,22.5,5,54,6,2.4,2,New Zealand,Christchurch,3/30/2018,England
MD Marshall,19.83333333333333,2,55,6,2.77,4,India,Port of Spain,4/15/1989,West Indies
PR Adams,19.166666666666668,6,55,6,2.86,1,India,Kanpur,12/8/1996,South Africa
Waqar Younis,16.333333333333332,2,55,6,3.36,1,Bangladesh,Dhaka,1/9/2002,Pakistan
DJ Bravo,26,6,55,6,2.11,2,England,Manchester,8/12/2004,West Indies
M Muralidaran,35,14,55,6,1.57,2,England,Kandy,12/1/2007,Sri Lanka
MJ North,18.166666666666668,1,55,6,3.02,4,Pakistan,Lord's,7/13/2010,Australia
I Sharma,21.83333333333333,7,55,6,2.51,2,West Indies,Bridgetown,6/28/2011,India
R Ashwin,20.5,3,55,6,2.68,3,England,Wankhede,12/8/2016,India
K Rabada,17,3,55,6,3.23,4,Sri Lanka,Cape Town,1/2/2017,South Africa
RMH Binny,25.166666666666668,8,56,6,2.22,2,Pakistan,Eden Gardens,2/11/1987,India
SM Pollock,21.666666666666668,10,56,6,2.58,3,India,Bloemfontein,11/3/2001,South Africa
DL Vettori,25,7,56,6,2.24,2,West Indies,Dunedin,12/11/2008,New Zealand
Mohammed Shami,24,8,56,6,2.33,3,Australia,Perth,12/14/2018,India
A Nortje,14.5,1,56,6,3.86,1,Sri Lanka,Johannesburg,1/3/2021,South Africa
MJ Hoggard,30.83333333333333,13,57,6,1.84,2,India,Nagpur,3/1/2006,England
C Sharma,24,4,58,6,2.41,3,England,Birmingham,7/3/1986,India
AIC Dodemaide,28.5,10,58,6,2.03,3,New Zealand,Melbourne,12/26/1987,Australia
EE Hemmings,27.5,10,58,6,2.1,2,New Zealand,Birmingham,7/5/1990,England
ND Hirwani,30,10,59,6,1.96,4,New Zealand,Bengaluru,11/12/1988,India
ND Hirwani,31,10,59,6,1.9,2,New Zealand,Cuttack,11/8/1995,India
AA Donald,27,8,59,6,2.18,3,Australia,Melbourne,12/26/1997,South Africa
M Muralidaran,21.5,5,59,6,2.74,1,Australia,Galle,3/8/2004,Sri Lanka
DT Hondo,22,7,59,6,2.68,2,Bangladesh,Dhaka,1/14/2005,Zimbabwe
M Ntini,21,6,59,6,2.8,2,Pakistan,Gqeberha,1/19/2007,South Africa
Shakib Al Hasan,24.83333333333333,5,59,6,2.37,1,Zimbabwe,Mirpur,10/25/2014,Bangladesh
HMRKB Herath,20.33333333333333,5,59,6,2.9,4,Bangladesh,Galle,3/7/2017,Sri Lanka
JO Holder,13,3,59,6,4.53,4,Bangladesh,Kingston,7/12/2018,West Indies
BA Reid,29,9,60,6,2.06,3,India,Melbourne,12/26/1991,Australia
DW Headley,17,5,60,6,3.52,4,Australia,Melbourne,12/26/1998,England
GP Wickramasinghe,21.33333333333333,6,60,6,2.81,1,Zimbabwe,Bulawayo,11/18/1999,Sri Lanka
NM Lyon,33,11,60,6,1.81,3,Bangladesh,Chattogram,9/4/2017,Australia
Wasim Akram,26.33333333333333,7,61,6,2.31,2,West Indies,St John's,5/25/2000,Pakistan
CA Walsh,36.66666666666666,13,61,6,1.66,3,South Africa,Port of Spain,3/17/2001,West Indies
SJ Harmison,20.166666666666668,5,61,6,3.02,1,West Indies,Port of Spain,3/19/2004,England
R Ashwin,17.5,2,61,6,3.48,3,England,Chennai,2/5/2021,India
CA Walsh,29,8,62,6,2.13,1,India,Kingston,4/28/1989,West Indies
Wasim Akram,30,9,62,6,2.06,1,Australia,Melbourne,1/12/1990,Pakistan
Harbhajan Singh,31,5,62,6,2,3,Zimbabwe,Delhi,2/28/2002,India
MS Panesar,38.333333333333336,18,62,6,1.61,3,Pakistan,Abu Dhabi,1/25/2012,England
TG Southee,26,7,62,6,2.38,1,England,Christchurch,3/30/2018,New Zealand
JC Archer,23.83333333333333,9,62,6,2.6,2,Australia,The Oval,9/12/2019,England
AR Caddick,28.5,8,63,6,2.21,2,New Zealand,Wellington,3/21/2002,England
Harbhajan Singh,28,2,63,6,2.25,3,New Zealand,Hamilton,3/18/2009,India
RA Jadeja,21.666666666666668,1,63,6,2.9,2,Australia,Bengaluru,3/4/2017,India
Yasir Shah,21.666666666666668,4,63,6,2.9,3,West Indies,Kingston,4/21/2017,Pakistan
A Kumble,21,7,64,6,3.04,3,England,Chennai,2/11/1993,India
SK Warne,27.666666666666668,8,64,6,2.31,2,England,Melbourne,12/24/1994,Australia
DL Vettori,33,10,64,6,1.93,3,Sri Lanka,Colombo (SSC),6/10/1998,New Zealand
AR Caddick,26,5,65,6,2.5,3,West Indies,Port of Spain,3/25/1994,England
SM Katich,25.83333333333333,3,65,6,2.51,3,Zimbabwe,Sydney,10/17/2003,Australia
GP Swann,37,20,65,6,1.75,3,Pakistan,Birmingham,8/6/2010,England
RJ Ratnayake,19.666666666666668,2,66,6,3.35,1,Australia,Hobart,12/16/1989,Sri Lanka
BA Reid,26.33333333333333,7,66,6,2.5,1,India,Melbourne,12/26/1991,Australia
KCG Benjamin,24,7,66,6,2.75,1,England,Kingston,2/19/1994,West Indies
M Ntini,31.666666666666668,12,66,6,2.08,3,New Zealand,Bloemfontein,11/17/2000,South Africa
MA Starc,25,6,66,6,2.64,2,Pakistan,Adelaide,11/29/2019,Australia
Wasim Akram,22.166666666666668,3,67,6,3.02,1,England,The Oval,8/6/1992,Pakistan
PM Such,33.5,9,67,6,2,1,Australia,Manchester,6/3/1993,England
A Kumble,26.83333333333333,5,67,6,2.49,3,New Zealand,Kanpur,10/22/1999,India
JH Kallis,36,17,67,6,1.86,2,West Indies,Bridgetown,3/29/2001,South Africa
RJ Sidebottom,24,7,67,6,2.79,3,New Zealand,Nottingham,6/5/2008,England
MM Ali,20.666666666666668,4,67,6,3.24,4,India,Southampton,7/27/2014,England
JR Hazlewood,24,5,67,6,2.79,3,India,Bengaluru,3/4/2017,Australia
TA Boult,25,9,68,6,2.72,2,England,Auckland,3/22/2013,New Zealand
HMRKB Herath,33,9,68,6,2.06,2,West Indies,Galle,10/14/2015,Sri Lanka
TG Southee,27,7,68,6,2.51,1,Sri Lanka,Wellington,12/15/2018,New Zealand
MD Marshall,30,4,69,6,2.3,1,England,Nottingham,6/2/1988,West Indies
DK Morrison,26.33333333333333,9,69,6,2.62,2,West Indies,Christchurch,2/3/1995,New Zealand
CJ McDermott,29.33333333333333,5,70,6,2.38,1,England,Lord's,6/27/1985,Australia
A Kumble,24.83333333333333,7,70,6,2.81,1,Pakistan,Chennai,1/28/1999,India
DL Vettori,32.333333333333336,12,70,6,2.16,2,Bangladesh,Chattogram,10/26/2004,New Zealand
JR Hazlewood,24.83333333333333,5,70,6,2.81,3,New Zealand,Adelaide,11/27/2015,Australia
CR Woakes,24,7,70,6,2.91,1,Pakistan,Lord's,7/14/2016,England
MDK Perera,23,5,70,6,3.04,4,Australia,Galle,8/4/2016,Sri Lanka
RTM Mendis,34.333333333333336,8,70,6,2.03,2,West Indies,Galle,11/29/2021,Sri Lanka
Sir RJ Hadlee,28.83333333333333,9,71,6,2.46,3,Australia,Brisbane,11/8/1985,New Zealand
PR Reiffel,22.83333333333333,3,71,6,3.1,1,England,Birmingham,8/5/1993,Australia
M Muralidaran,27.166666666666668,4,71,6,2.61,4,Pakistan,Peshawar,3/5/2000,Sri Lanka
Robiul Islam,19,1,71,6,3.73,3,Zimbabwe,Harare,4/17/2013,Bangladesh
GF Lawson,33,11,72,6,2.18,1,England,Manchester,7/27/1989,Australia
HDPK Dharmasena,24.166666666666668,4,72,6,2.97,1,New Zealand,Galle,6/3/1998,Sri Lanka
A Kumble,30,10,72,6,2.4,3,Pakistan,Multan,3/28/2004,India
A Kumble,28,6,72,6,2.57,2,Sri Lanka,Delhi,12/10/2005,India
DW Steyn,21.83333333333333,6,72,6,3.29,3,West Indies,Durban,1/10/2008,South Africa
PP Ojha,34.333333333333336,9,72,6,2.09,1,West Indies,Delhi,11/6/2011,India
Yasir Shah,29,6,72,6,2.48,2,England,Lord's,7/14/2016,Pakistan
EJ Chatfield,22,4,73,6,3.31,3,West Indies,Port of Spain,3/29/1985,New Zealand
Harbhajan Singh,30.5,8,73,6,2.39,4,Australia,Eden Gardens,3/11/2001,India
WPUJC Vaas,27.83333333333333,6,73,6,2.62,2,England,Colombo (SSC),3/15/2001,Sri Lanka
RW Price,37.333333333333336,13,73,6,1.95,2,West Indies,Harare,11/4/2003,Zimbabwe
HH Streak,32,10,73,6,2.28,2,India,Harare,9/20/2005,Zimbabwe
MG Johnson,20.166666666666668,6,73,6,3.61,4,New Zealand,Hamilton,3/27/2010,Australia
CEL Ambrose,28.33333333333333,6,74,6,2.61,2,Australia,Adelaide,1/23/1993,West Indies
CA Walsh,23.83333333333333,5,74,6,3.1,4,England,Lord's,6/29/2000,West Indies
HMRKB Herath,19,5,74,6,3.89,2,England,Galle,3/26/2012,Sri Lanka
Sohag Gazi,23.33333333333333,2,74,6,3.17,3,West Indies,Mirpur,11/13/2012,Bangladesh
IE O'Brien,26,6,75,6,2.88,1,West Indies,Napier,12/19/2008,New Zealand
PM Siddle,33.166666666666664,10,75,6,2.26,2,England,Melbourne,12/26/2010,Australia
Amir Hamza,25,3,75,6,3,2,Zimbabwe,Abu Dhabi,3/2/2021,Afghanistan
DJ Nash,25,6,76,6,3.04,2,England,Lord's,6/16/1994,New Zealand
J Srinath,30,6,76,6,2.53,1,South Africa,Gqeberha,11/16/2001,India
PT Collins,30.666666666666668,8,76,6,2.47,3,New Zealand,Bridgetown,6/21/2002,West Indies
CS Martin,31,7,76,6,2.45,1,South Africa,Auckland,3/18/2004,New Zealand
RM Ellison,31.83333333333333,9,77,6,2.41,1,Australia,Birmingham,8/15/1985,England
DE Malcolm,26.33333333333333,4,77,6,2.92,3,West Indies,Port of Spain,3/23/1990,England
CL Cairns,21.166666666666668,1,77,6,3.63,1,England,Lord's,7/22/1999,New Zealand
Mohammad Rafique,37.333333333333336,7,77,6,2.06,1,South Africa,Dhaka,5/1/2003,Bangladesh
Sohag Gazi,26,4,77,6,2.96,3,New Zealand,Chattogram,10/9/2013,Bangladesh
Mehidy Hasan Miraz,21.5,2,77,6,3.58,4,England,Mirpur,10/28/2016,Bangladesh
KJ Abbott,23.166666666666668,3,77,6,3.32,3,Australia,Hobart,11/12/2016,South Africa
PL Taylor,26,7,78,6,3,2,England,Sydney,1/10/1987,Australia
W Watson,36,10,78,6,2.16,2,Pakistan,Lahore,10/18/1990,New Zealand
Waqar Younis,19,1,78,6,4.1,2,New Zealand,Christchurch,2/24/1994,Pakistan
Mushtaq Ahmed,37,10,78,6,2.1,3,England,The Oval,8/22/1996,Pakistan
Mushtaq Ahmed,37,13,78,6,2.1,4,South Africa,Durban,2/26/1998,Pakistan
Waqar Younis,23,6,78,6,3.39,1,South Africa,Gqeberha,3/6/1998,Pakistan
SM Pollock,29.33333333333333,9,78,6,2.65,2,Pakistan,Faisalabad,10/24/2003,South Africa
Harbhajan Singh,30.166666666666668,5,78,6,2.58,3,Australia,Bengaluru,10/6/2004,India
A Kumble,22.666666666666668,3,78,6,3.44,4,West Indies,Kingston,6/30/2006,India
CA Walsh,22,4,79,6,3.59,1,India,Wankhede,11/18/1994,West Indies
PJ Cummins,29,5,79,6,2.72,3,South Africa,Johannesburg,11/17/2011,Australia
ST Finn,21,3,79,6,3.76,3,Australia,Birmingham,7/29/2015,England
Sir RJ Hadlee,37.833333333333336,11,80,6,2.11,1,England,Lord's,7/24/1986,New Zealand
Sir RJ Hadlee,32,7,80,6,2.5,1,England,Nottingham,8/7/1986,New Zealand
CA Walsh,24.83333333333333,6,80,6,3.22,1,South Africa,Centurion,1/15/1999,West Indies
SK Warne,33,9,80,6,2.42,3,West Indies,Adelaide,11/25/2005,Australia
D Bishoo,33,10,80,6,2.42,2,Australia,Roseau,6/3/2015,West Indies
Mehidy Hasan Miraz,39.833333333333336,7,80,6,2,1,England,Chattogram,10/20/2016,Bangladesh
TG Southee,21,4,80,6,3.8,2,Pakistan,Hamilton,11/25/2016,New Zealand
PS de Villiers,20.83333333333333,4,81,6,3.88,2,Pakistan,Johannesburg,1/19/1995,South Africa
Manjural Islam,35,12,81,6,2.31,2,Zimbabwe,Bulawayo,4/19/2001,Bangladesh
M Muralidaran,35.833333333333336,16,81,6,2.26,4,West Indies,Kandy,11/21/2001,Sri Lanka
A Kumble,28.666666666666668,6,81,6,2.82,3,England,Mohali,12/3/2001,India
A Nel,29,7,81,6,2.79,2,England,Centurion,1/21/2005,South Africa
SJ Benn,46.66666666666666,13,81,6,1.73,2,South Africa,Bridgetown,6/26/2010,West Indies
VD Philander,22,4,81,6,3.68,2,New Zealand,Wellington,3/23/2012,South Africa
MS Panesar,22,3,81,6,3.68,3,India,Wankhede,11/23/2012,England
SCJ Broad,24,3,81,6,3.37,1,Australia,Brisbane,11/21/2013,England
HMRKB Herath,38.16666666666666,11,81,6,2.12,2,Australia,Colombo (SSC),8/13/2016,Sri Lanka
R Ashwin,27.33333333333333,5,81,6,2.96,2,New Zealand,Indore,10/8/2016,India
ARC Fraser,39,10,82,6,2.1,2,Australia,Melbourne,12/26/1990,England
MG Bevan,22.666666666666668,3,82,6,3.61,3,West Indies,Adelaide,1/25/1997,Australia
Shakib Al Hasan,40.833333333333336,7,82,6,2,2,Pakistan,Mirpur,12/17/2011,Bangladesh
GP Swann,30,5,82,6,2.73,3,Sri Lanka,Galle,3/26/2012,England
B Kumar,31,10,82,6,2.64,2,England,Lord's,7/17/2014,India
Mehidy Hasan Miraz,28,2,82,6,2.92,2,England,Mirpur,10/28/2016,Bangladesh
NM Lyon,34.5,10,82,6,2.37,3,Bangladesh,Mirpur,8/27/2017,Australia
N Kapil Dev,33,7,84,6,2.54,2,West Indies,Kingston,4/28/1989,India
Mushtaq Ahmed,32,8,84,6,2.62,3,New Zealand,Lahore,11/21/1996,Pakistan
DJ Bravo,27,7,84,6,3.11,2,Australia,Adelaide,11/25/2005,West Indies
Mohammad Amir,28,6,84,6,3,1,England,Lord's,8/26/2010,Pakistan
RJ Ratnayake,41,10,85,6,2.07,3,India,Colombo (SSC),8/30/1985,Sri Lanka
JG Bracewell,34.333333333333336,11,85,6,2.47,3,Australia,Wellington,3/15/1990,New Zealand
GD McGrath,34.333333333333336,11,85,6,2.47,2,England,Brisbane,11/20/1998,Australia
GD McGrath,40.66666666666666,15,86,6,2.11,2,South Africa,Centurion,3/21/1997,Australia
SK Warne,35.833333333333336,9,86,6,2.4,4,South Africa,Durban,3/24/2006,Australia
M Muralidaran,25,2,86,6,3.44,2,England,Birmingham,5/25/2006,Sri Lanka
IR Bishop,25,5,87,6,3.48,1,India,Bridgetown,4/7/1989,West Indies
SLV Raju,32.5,9,87,6,2.67,3,Sri Lanka,Ahmedabad,2/8/1994,India
WPUJC Vaas,40,9,87,6,2.17,2,New Zealand,Dunedin,3/18/1995,Sri Lanka
Mushtaq Ahmed,30,3,87,6,2.9,1,New Zealand,Rawalpindi,11/28/1996,Pakistan
HH Streak,35.833333333333336,12,87,6,2.42,2,England,Lord's,5/18/2000,Zimbabwe
M Muralidaran,41,8,87,6,2.12,2,South Africa,Galle,7/20/2000,Sri Lanka
DL Vettori,34.666666666666664,7,87,6,2.5,2,Australia,Perth,11/30/2001,New Zealand
M Muralidaran,34.166666666666664,9,87,6,2.54,4,New Zealand,Wellington,12/15/2006,Sri Lanka
AA Donald,40,14,88,6,2.2,3,England,Manchester,7/2/1998,South Africa
UT Yadav,26.666666666666668,3,88,6,3.3,1,West Indies,Hyderabad,10/12/2018,India
JR Hazlewood,30.83333333333333,10,89,6,2.88,2,South Africa,Hobart,11/12/2016,Australia
Sir RJ Hadlee,39,11,90,6,2.3,3,Australia,Perth,11/30/1985,New Zealand
HH Streak,39,11,90,6,2.3,2,Pakistan,Harare,1/31/1995,Zimbabwe
FH Edwards,18.166666666666668,2,90,6,4.95,1,Bangladesh,Khulna,11/21/2012,West Indies
GP Swann,32,12,90,6,2.81,4,New Zealand,Leeds,5/24/2013,England
Wasim Akram,25,3,91,6,3.64,2,West Indies,Faisalabad,10/24/1986,Pakistan
SCJ Broad,25.166666666666668,6,91,6,3.61,2,Australia,Leeds,8/7/2009,England
SP Narine,42.5,17,91,6,2.14,2,New Zealand,Hamilton,12/19/2013,West Indies
FH Edwards,26.5,4,92,6,3.47,1,England,Lord's,5/6/2009,West Indies
P Jayawickrama,32,7,92,6,2.87,2,Bangladesh,Pallekele,4/29/2021,Sri Lanka
Elias Sunny,23,0,94,6,4.08,2,West Indies,Chattogram,10/21/2011,Bangladesh
M Ntini,28,3,95,6,3.39,1,West Indies,Port of Spain,4/8/2005,South Africa
Saeed Ajmal,42,9,96,6,2.28,2,South Africa,Cape Town,2/14/2013,Pakistan
Yasir Shah,41.5,5,96,6,2.31,2,Sri Lanka,Colombo (PSS),6/25/2015,Pakistan
BA Reid,39,8,97,6,2.48,1,England,Melbourne,12/26/1990,Australia
HMRKB Herath,38,9,97,6,2.55,4,England,Galle,3/26/2012,Sri Lanka
M Muralidaran,53,19,98,6,1.84,2,Pakistan,Colombo (RPS),4/19/1997,Sri Lanka
A Kumble,41.5,8,98,6,2.36,2,Australia,Bengaluru,3/25/1998,India
HMRKB Herath,32.833333333333336,5,98,6,2.98,4,South Africa,Colombo (SSC),7/20/2018,Sri Lanka
HDPK Dharmasena,45.333333333333336,13,99,6,2.18,1,Pakistan,Colombo (PSS),8/9/1994,Sri Lanka
Shakib Al Hasan,28,3,99,6,3.53,2,South Africa,Centurion,11/26/2008,Bangladesh
BA Stokes,19.83333333333333,1,99,6,4.99,1,Australia,Sydney,1/3/2014,England
BAW Mendis,29.83333333333333,3,99,6,3.31,2,Bangladesh,Chattogram,2/4/2014,Sri Lanka
FA Rose,33,7,100,6,3.03,2,India,Kingston,3/6/1997,West Indies
DL Vettori,28.33333333333333,9,100,6,3.52,3,Bangladesh,Chattogram,10/26/2004,New Zealand
M Ntini,18.83333333333333,2,100,6,5.3,2,Australia,Johannesburg,3/31/2006,South Africa
DW Steyn,30,9,100,6,3.33,1,India,Durban,12/26/2013,South Africa
Harbhajan Singh,40.5,8,102,6,2.51,2,Sri Lanka,Galle,7/31/2008,India
GP Wickramasinghe,29.166666666666668,7,103,6,3.53,1,Pakistan,Lahore,3/4/1999,Sri Lanka
HMRKB Herath,49,10,103,6,2.1,1,New Zealand,Colombo (PSS),11/25/2012,Sri Lanka
NA Foster,23,2,104,6,4.52,1,India,Chennai,1/13/1985,England
BKV Prasad,35,6,104,6,2.97,1,South Africa,Eden Gardens,11/27/1996,India
Sir RJ Hadlee,41.66666666666666,7,105,6,2.52,1,West Indies,Auckland,2/27/1987,New Zealand
RG Holland,47,19,106,6,2.25,1,New Zealand,Sydney,11/22/1985,Australia
GP Swann,38,6,106,6,2.78,3,India,The Oval,8/18/2011,England
GP Swann,40,1,106,6,2.65,3,Sri Lanka,Colombo (PSS),4/3/2012,England
N Wagner,32.166666666666664,6,106,6,3.29,2,Australia,Christchurch,2/20/2016,New Zealand
WPUJC Vaas,40,12,108,6,2.7,2,New Zealand,Wellington,4/11/2005,Sri Lanka
Taijul Islam,39.5,7,108,6,2.73,1,Zimbabwe,Sylhet,11/3/2018,Bangladesh
ALF de Mel,22,1,109,6,4.95,2,Pakistan,Karachi,11/7/1985,Sri Lanka
AG Huckle,40.66666666666666,10,109,6,2.68,2,New Zealand,Bulawayo,9/25/1997,Zimbabwe
CC Lewis,35,10,111,6,3.17,2,West Indies,Birmingham,7/25/1991,England
MA Starc,27,2,111,6,4.11,2,England,Nottingham,8/6/2015,Australia
R Ashwin,44,4,112,6,2.54,1,England,Wankhede,12/8/2016,India
DN Patel,40.66666666666666,12,113,6,2.77,2,Zimbabwe,Bulawayo,11/1/1992,New Zealand
MR Gillespie,33.666666666666664,7,113,6,3.35,1,South Africa,Wellington,3/23/2012,New Zealand
GD McGrath,42,9,115,6,2.73,1,New Zealand,Christchurch,3/10/2005,Australia
A Dananjaya,25,0,115,6,4.6,3,England,Pallekele,11/14/2018,Sri Lanka
BAW Mendis,28,1,117,6,4.17,1,India,Galle,7/31/2008,Sri Lanka
DG Cork,31.166666666666668,5,119,6,3.81,1,South Africa,Lord's,6/18/1998,England
JEC Franklin,26.166666666666668,3,119,6,4.54,2,Australia,Auckland,3/26/2005,New Zealand
S Shillingford,42.833333333333336,9,119,6,2.77,1,Australia,Roseau,4/23/2012,West Indies
Tanvir Ahmed,28,6,120,6,4.28,1,South Africa,Abu Dhabi,11/20/2010,Pakistan
RW Price,41.5,6,121,6,2.91,2,Australia,Sydney,10/17/2003,Zimbabwe
AR Caddick,25,8,122,6,4.88,4,New Zealand,Christchurch,3/13/2002,England
Mohammad Rafique,59.16666666666666,18,122,6,2.06,2,New Zealand,Dhaka,10/19/2004,Bangladesh
SK Warne,37.5,5,122,6,3.25,1,England,The Oval,9/8/2005,Australia
CBRLS Kumara,25,1,122,6,4.88,1,South Africa,Cape Town,1/2/2017,Sri Lanka
NM Lyon,42,7,122,6,2.9,3,India,Adelaide,12/6/2018,Australia
SK Warne,38.5,3,124,6,3.22,3,England,The Oval,9/8/2005,Australia
Yasir Shah,39,5,124,6,3.17,4,West Indies,Abu Dhabi,10/21/2016,Pakistan
SK Warne,42.5,5,125,6,2.94,2,India,Chennai,10/14/2004,Australia
ST Finn,33.666666666666664,1,125,6,3.71,2,Australia,Brisbane,11/25/2010,England
ST Finn,37.5,8,125,6,3.33,1,New Zealand,Auckland,3/22/2013,England
M Muralidaran,53.66666666666666,11,126,6,2.34,1,West Indies,Galle,11/13/2001,Sri Lanka
MS Panesar,46,17,126,6,2.73,4,New Zealand,Napier,3/22/2008,England
DL Vettori,55.16666666666666,11,127,6,2.3,2,India,Kanpur,10/22/1999,New Zealand
PL Harris,42.833333333333336,9,127,6,2.96,3,Australia,Cape Town,3/19/2009,South Africa
Rahat Ali,27.33333333333333,1,127,6,4.64,1,South Africa,Centurion,2/22/2013,Pakistan
TM Alderman,38,6,128,6,3.36,3,England,Lord's,6/22/1989,Australia
Imran Khan,41.833333333333336,8,129,6,3.08,2,England,Birmingham,7/23/1987,Pakistan
MS Panesar,36.16666666666666,3,129,6,3.56,2,West Indies,Lord's,5/17/2007,England
A Kumble,54,13,131,6,2.42,1,South Africa,Kanpur,11/20/2004,India
M Muralidaran,64,11,131,6,2.04,3,South Africa,Colombo (SSC),7/27/2006,Sri Lanka
M Prabhakar,42.5,4,132,6,3.1,2,Pakistan,Faisalabad,11/23/1989,India
Naimur Rahman,44.5,9,132,6,2.96,2,India,Dhaka,11/10/2000,Bangladesh
R Ashwin,35.5,5,132,6,3.71,4,New Zealand,Kanpur,9/22/2016,India
N Pradeep,31,2,132,6,4.25,1,India,Galle,7/26/2017,Sri Lanka
A Kumble,47,8,133,6,2.82,3,Australia,Chennai,10/14/2004,India
HMRKB Herath,53,9,133,6,2.5,2,England,Colombo (PSS),4/3/2012,Sri Lanka
HMRKB Herath,39.16666666666666,5,133,6,3.39,3,Zimbabwe,Colombo (RPS),7/14/2017,Sri Lanka
